2,105,1,1,4,393
1,104,5,7,6,206
4,103,4,7,2,283
3,105,5,3,2,367
2,105,1,6,3,90
5,101,1,7,4,375
1,104,4,9,2,207
3,102,5,8,1,432
5,103,5,5,2,44
2,101,1,4,1,312
3,102,4,9,5,203
4,105,1,3,2,210
3,102,4,5,6,199
3,105,4,1,4,136
5,102,1,8,1,228
1,101,1,6,2,246
5,102,2,8,5,422
3,102,4,5,6,371
2,101,2,6,5,246
4,102,3,2,3,299
2,101,3,9,3,471
5,104,1,3,5,177
1,101,1,6,2,324
4,103,5,6,4,124
4,104,1,9,5,78
4,103,5,8,2,188
4,102,3,1,5,181
1,102,3,9,1,332
2,103,3,9,4,39
4,101,5,4,4,365
5,101,1,5,4,124
4,103,5,1,1,247
2,105,1,1,3,274
3,104,2,6,2,406
5,105,2,3,6,234
1,103,4,4,1,386
2,102,5,2,6,407
5,103,2,9,2,459
3,104,5,3,3,189
2,102,3,2,2,340
3,104,5,3,2,53
2,101,3,4,3,162
1,104,1,4,3,489
1,102,3,8,2,378
3,102,4,5,5,337
4,103,2,4,4,382
2,103,3,9,1,71
4,105,2,9,1,133
3,101,5,1,5,230
1,104,3,7,4,194
4,105,1,6,4,164
2,105,4,6,5,69
5,103,2,4,1,485
1,101,5,2,6,450
5,104,2,9,4,201
5,103,3,9,3,166
2,103,2,9,5,482
4,105,5,2,3,327
2,101,3,7,3,375
5,102,3,5,6,17
4,102,1,4,6,106
1,104,2,8,2,208
3,102,3,1,2,339
1,102,2,2,2,432
1,104,1,4,2,440
2,102,4,4,4,52
2,103,4,6,2,205
1,101,1,8,5,157
4,101,3,2,2,222
4,102,3,2,2,97
1,105,1,3,5,78
2,104,4,8,3,411
2,101,3,6,1,427
3,102,2,5,6,152
3,105,4,9,3,151
1,103,2,8,3,188
2,102,4,1,4,326
5,105,5,8,6,118
2,102,1,4,3,287
5,105,1,6,1,121
5,105,1,9,5,39
4,103,2,9,6,208
4,102,2,3,5,247
3,104,4,3,3,456
3,105,3,5,1,232
4,102,2,3,5,119
3,103,2,4,1,284
2,103,3,1,6,480
5,105,3,6,6,321
5,102,4,6,6,114
1,101,2,9,2,387
1,101,5,7,5,158
2,105,1,9,1,373
5,101,4,1,4,17
3,104,5,8,2,34
2,102,3,3,5,191
2,105,2,9,6,197
1,102,1,4,4,352
3,104,4,7,6,317
2,102,2,4,6,320
3,101,2,3,5,257
2,102,3,9,1,364
1,101,2,1,2,173
5,104,1,8,6,124
3,105,4,6,6,117
2,101,2,2,2,313
1,103,5,9,3,458
1,103,1,4,5,494
2,104,4,9,5,33
5,101,2,1,2,77
2,103,5,2,1,484
4,103,3,6,6,121
1,105,5,4,6,149
3,101,2,7,5,323
4,102,4,9,4,276
1,101,5,1,5,305
5,103,4,7,1,72
5,105,3,5,6,444
1,103,3,2,4,260
2,102,4,4,5,114
5,103,5,2,1,256
2,102,1,5,2,409
1,104,1,8,4,420
1,105,5,6,1,229
2,105,5,1,6,195
1,103,1,9,2,125
3,103,1,4,6,307
4,101,4,6,4,433
2,102,3,5,4,41
4,101,3,4,6,383
5,101,4,7,5,421
1,104,4,1,4,210
1,101,2,8,4,227
5,105,3,7,6,29
5,103,3,7,3,343
2,102,3,4,3,94
5,105,1,4,3,396
3,105,1,1,3,174
3,102,3,8,1,162
1,103,5,7,1,255
3,104,3,2,4,296
5,101,4,1,4,432
4,104,4,8,6,387
4,105,3,1,5,127
3,101,3,2,1,13
1,104,3,3,5,413
3,102,5,1,1,366
3,103,2,1,1,374
4,105,4,3,1,161
2,101,2,9,4,192
5,102,4,8,5,247
2,105,1,7,5,433
2,103,5,4,5,280
5,104,4,4,3,206
5,101,4,5,2,293
2,105,5,9,1,302
1,104,1,2,2,68
4,104,2,4,1,192
5,102,5,3,3,377
3,105,1,9,2,217
5,104,2,1,1,112
2,104,2,8,6,6
4,103,1,8,6,124
5,102,4,5,3,59
1,105,5,9,6,298
4,103,3,4,3,119
4,105,5,9,3,32
5,101,4,5,1,496
2,105,2,6,5,329
2,101,2,5,4,232
4,102,5,8,3,110
5,105,1,3,3,66
2,105,1,1,5,406
3,105,1,5,6,220
3,102,4,3,2,1
2,102,1,5,5,249
4,105,5,1,3,113
1,102,1,2,1,57
2,101,2,8,3,146
3,101,1,6,4,437
1,105,1,7,6,224
2,104,1,4,3,378
1,101,1,2,2,322
2,102,4,5,4,155
1,103,1,5,1,174
2,105,1,5,2,444
4,102,3,7,4,495
1,105,1,9,6,265
1,102,3,4,3,132
5,101,1,7,3,109
